ASV_ID	SRR11735465	SRR11735466	SRR11735467	SRR11735468	SRR11735469	SRR11735472	SRR11735483	SRR11735494	SRR11735497	SRR11735498	SRR11735499	SRR11735500	SRR11735501	SRR11735502	SRR11735504	SRR11735505	SRR11735506	SRR11735471	SRR11735473	SRR11735474	SRR11735475	SRR11735476	SRR11735477	SRR11735478	SRR11735479	SRR11735480	SRR11735481	SRR11735482	SRR11735484	SRR11735485	SRR11735486	SRR11735487	SRR11735488	SRR11735489	SRR11735490	SRR11735491	SRR11735492	SRR11735493	SRR11735495	SRR11735496
1	ASV1	0	243	0	0	268	0	0	3250	1116	0	0	0	0	0	2258	0	278	1319	12290	735	439	992	0	0	630	1336	0	1090	0	379	0	0	0	616	0	2429	2884	1886	2610	0
2	ASV2	2508	1336	2927	0	1198	5552	4737	0	0	0	0	2982	0	4510	0	0	0	0	0	0	1822	0	0	2022	0	0	0	0	2618	862	0	392	0	0	0	0	0	0	0	0
3	ASV3	0	606	153	0	0	0	139	0	876	510	766	0	1153	0	0	0	740	698	337	0	291	975	0	0	1809	0	0	6664	867	0	2629	0	0	1532	0	1252	1693	1461	1988	0
4	ASV4	0	0	467	0	4478	0	1993	0	0	0	0	3822	0	1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	ASV5	0	0	0	0	2305	2614	0	0	0	0	646	0	0	0	0	0	0	382	0	0	0	1327	0	0	0	0	0	0	0	0	377	1361	920	0	6405	0	1784	0	493	0
6	ASV6	0	0	247	0	0	0	0	985	0	0	0	0	0	13	0	0	193	0	0	6166	302	0	76	0	0	0	0	614	0	0	0	0	0	2019	0	532	1525	0	0	0
7	ASV7	0	43	0	0	0	0	0	832	313	1700	145	0	0	0	0	0	0	540	887	602	137	0	0	0	1609	0	753	0	257	0	539	812	0	849	0	0	0	0	0	0
8	ASV8	0	0	0	0	0	0	0	1330	254	0	0	0	892	0	0	0	0	0	94	0	0	507	0	0	985	0	0	0	159	0	0	0	1369	0	0	0	2035	402	0	0
9	ASV9	0	0	1052	0	0	0	243	0	0	0	0	0	0	0	1647	0	4072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	ASV10	64	0	85	0	286	153	189	705	785	0	0	0	0	0	664	0	0	0	0	0	0	0	1443	0	78	868	0	0	288	0	1486	0	0	0	0	176	0	0	0	0
11	ASV11	503	688	0	1121	0	0	0	0	0	1225	0	0	0	64	1286	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	ASV12	0	965	949	0	794	1326	185	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	606	0	0	0	0	1166	0	0	896	0	0	0	0	0	0	0	0
13	ASV13	0	0	0	0	0	0	63	0	0	384	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	0	0	299	208	0	0	3835
14	ASV14	0	0	440	1004	0	217	0	0	0	0	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	ASV15	0	0	0	1611	0	0	0	0	949	1011	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	ASV16	0	0	739	0	0	0	508	0	0	0	0	964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	ASV17	0	0	0	0	0	0	162	0	0	0	739	0	0	0	0	79	43	452	0	0	0	0	0	0	809	0	0	0	0	0	113	0	0	117	0	0	0	2357	0	0
18	ASV18	0	126	0	0	0	0	173	534	0	0	0	0	637	0	0	0	0	1129	0	392	251	0	0	0	212	0	61	0	0	0	0	312	0	174	0	0	0	0	0	317
19	ASV19	1293	0	0	0	0	0	638	0	1141	1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
