#Sample_ID,Groups,Block
SRR11735465,HC,E
SRR11735466,HC,E
SRR11735467,HC,E
SRR11735468,HC,E
SRR11735469,HC,E
SRR11735471,OP,E
SRR11735472,HC,E
SRR11735473,OP,E
SRR11735474,OP,E
SRR11735475,OP,E
SRR11735476,OP,E
SRR11735477,OP,E
SRR11735478,OP,E
SRR11735479,OP,E
SRR11735480,OP,E
SRR11735481,OP,E
SRR11735482,OP,E
SRR11735483,HC,E
SRR11735484,OP,E
SRR11735485,OP,E
SRR11735486,OP,E
SRR11735487,OP,E
SRR11735488,OP,E
SRR11735489,OP,E
SRR11735490,OP,E
SRR11735491,OP,E
SRR11735492,OP,E
SRR11735493,OP,E
SRR11735494,HC,E
SRR11735495,OP,E
SRR11735496,OP,E
SRR11735497,HC,E
SRR11735498,HC,E
SRR11735499,HC,E
SRR11735500,HC,E
SRR11735501,HC,E
SRR11735502,HC,E
"SRR11735503	",HC,E
SRR11735504,HC,E
SRR11735505,HC,E
SRR11735506,HC,E
