ASV_ID	SRR17519997	SRR17520008	SRR17520009	SRR17520010	SRR17520011	SRR17520012	SRR17520013	SRR17520014	SRR17520015	SRR17520016	SRR17520017	SRR17520018	SRR17520019	SRR17520020	SRR17520021	SRR17520022	SRR17520023	SRR17520024	SRR17520025	SRR17520026	SRR17520027	SRR17520029	SRR17520030	SRR17520033	SRR17520034	SRR17520035	SRR17520036	SRR17520037	SRR17520038	SRR17520039	SRR17520040	SRR17520041	SRR17520042	SRR17520043	SRR17520044	SRR17520045	SRR17520046	SRR17520047	SRR17520048	SRR17520049	SRR17520050	SRR17520051	SRR17520052	SRR17520053	SRR17520054	SRR17520055	SRR17520056	SRR17520057	SRR17520058	SRR17520059	SRR17520060	SRR17520061	SRR17520062	SRR17520063	SRR17520064	SRR17520065	SRR17520066	SRR17520067	SRR17520068	SRR17519993	SRR17519994	SRR17519995	SRR17519996	SRR17519998	SRR17519999	SRR17520001	SRR17520002	SRR17520003	SRR17520004	SRR17520005	SRR17520006	SRR17520007	SRR17520031	SRR17520032
ASV1	316	28	49	0	60	17	6	7	92	0	3	13	0	71	212	144	0	3	0	514	16	24	4	172	79	179	303	43	881	75	4	387	227	0	0	175	4	3	772	1068	51	0	62	199	216	12	287	73	11	0	33	124	1113	0	12	3456	897	0	7	0	0	217	137	9	0	0	359	0	96	186	31	69	1045	0
ASV2	154	317	615	385	62	24	1056	143	676	31	249	0	67	279	69	5	41	105	910	525	222	246	251	352	138	382	155	14	56	76	36	285	80	250	0	0	106	0	152	0	0	147	82	446	65	187	0	247	231	65	25	91	0	23	168	0	0	195	231	275	67	0	112	171	139	89	210	0	107	50	120	190	107	223
ASV3	278	0	0	146	62	15	593	8	257	21	69	17	55	96	38	194	8	30	28	87	131	384	19	244	90	0	47	398	138	190	0	568	0	41	0	35	0	0	390	0	701	211	71	72	22	271	0	102	0	100	225	214	0	19	253	1328	10	39	30	150	65	2	172	24	203	72	48	0	343	121	253	34	434	41
ASV4	0	159	158	0	83	40	501	79	154	0	64	0	313	125	15	0	34	38	46	0	109	242	143	222	88	145	271	0	85	145	0	304	19	0	85	23	0	351	0	0	104	197	61	85	29	150	86	288	841	0	0	134	0	47	471	0	0	130	191	102	310	631	167	133	177	313	89	125	157	40	169	50	84	0
ASV5	73	0	0	0	350	0	0	190	0	88	237	0	0	37	460	0	0	0	350	571	84	0	124	0	0	418	0	75	54	869	0	0	192	133	334	0	41	84	0	0	0	23	120	71	0	613	0	0	0	0	0	23	0	0	0	0	0	532	0	0	0	0	27	1328	907	0	355	0	0	11	0	35	0	45
ASV6	0	0	0	0	105	0	3222	49	0	0	37	47	0	51	5	54	45	0	39	0	44	0	162	580	0	0	0	0	0	0	0	2	0	44	65	0	0	113	0	0	36	24	12	0	0	30	32	0	272	0	3	93	0	24	212	6	0	181	0	287	0	0	131	10	111	0	0	0	126	59	312	19	0	73
ASV7	0	0	260	0	0	0	2450	32	781	0	0	23	14	38	0	559	0	0	0	96	22	0	0	0	0	0	0	0	0	0	1076	0	5	0	0	6	0	225	4	0	19	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	5	0	237	0	270	0	15	0	0	17	40	0	165	74	5	0	0	82
ASV8	24	352	66	58	95	26	732	31	89	12	160	33	101	128	21	154	0	16	255	26	52	16	36	106	141	43	85	22	67	47	43	23	12	96	50	13	20	23	40	0	141	28	22	106	14	26	16	128	502	49	19	57	0	0	28	404	128	96	68	135	181	18	60	28	13	41	12	25	13	0	0	34	55	84
ASV9	0	105	17	185	0	6	228	40	296	0	13	18	89	74	0	4	0	0	37	14	53	82	0	242	117	252	42	0	49	13	6	27	9	0	11	53	31	23	51	460	115	72	0	111	99	0	62	73	0	0	0	51	0	7	56	215	42	14	39	58	76	153	60	59	37	33	48	0	76	0	53	109	0	68
ASV10	85	0	138	95	98	0	312	0	110	0	47	26	0	209	0	0	10	39	157	0	87	104	0	269	140	115	0	11	39	102	195	0	0	84	0	8	55	0	0	0	112	113	87	37	0	0	0	0	0	0	0	61	0	0	27	366	0	21	101	58	166	60	59	0	0	79	84	0	84	0	83	60	23	37
