ASV_ID	SRR5136860	SRR5136864	SRR5136865	SRR5136866	SRR5136871	SRR5136874	SRR5136859	SRR5136861	SRR5136862	SRR5136863	SRR5136867	SRR5136868	SRR5136869	SRR5136870	SRR5136872	SRR5136873	SRR5136875	SRR5136876
ASV1	2063	2513	8822	0	1451	0	900	299	0	0	0	207	118	1109	77	118	1180	92
ASV2	649	1283	2229	572	717	437	2645	1779	0	0	0	55	55	5108	286	649	145	274
ASV3	3885	1736	0	673	94	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV4	1316	427	139	58	128	108	0	126	9	346	2941	106	62	65	1915	0	148	284
ASV5	33	1304	0	0	350	123	1347	895	0	0	39	220	279	2064	827	68	0	306
ASV6	0	44	1591	86	14	42	0	71	0	4051	68	36	33	0	52	0	98	114
ASV7	35	1300	0	0	233	39	260	74	0	0	0	0	183	2385	900	101	49	651
ASV8	395	75	139	218	92	22	152	750	0	975	22	25	97	389	194	431	372	653
ASV9	388	319	151	1904	28	73	206	755	0	0	0	118	355	105	34	303	70	0
ASV10	275	0	29	349	0	8	77	0	0	38	177	27	121	0	905	2230	12	0
ASV11	718	189	705	355	103	0	207	276	0	231	50	0	78	61	196	45	92	504
ASV12	44	106	146	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV13	252	151	0	0	324	70	0	0	0	0	0	0	0	0	0	0	0	0
ASV14	39	425	60	45	344	24	617	619	0	0	10	158	0	380	254	81	0	68
ASV15	235	58	32	327	126	56	550	128	150	0	0	21	207	85	70	181	207	41
ASV16	48	9	104	0	9	0	12	0	0	102	302	0	14	14	378	7	61	1394
ASV17	168	0	182	332	0	70	36	0	0	7	419	0	24	24	318	0	29	118
ASV18	0	326	96	304	533	55	0	0	0	0	0	0	0	0	0	0	0	0
ASV19	31	15	75	49	35	0	13	211	44	345	85	440	7	9	23	10	25	31
ASV20	59	17	0	0	19	4	291	200	0	647	23	0	0	23	124	33	0	0
ASV21	41	57	161	217	27	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV22	20	21	0	128	49	19	278	86	0	208	88	49	43	38	69	41	73	0
ASV23	11	0	99	32	26	0	9	0	173	216	245	22	100	0	60	6	0	177
ASV24	14	25	110	48	22	20	92	75	0	0	37	13	40	137	134	37	154	14
ASV25	24	67	92	0	28	33	127	87	0	0	0	0	40	0	66	111	92	182
ASV26	0	39	162	108	0	46	0	0	0	0	0	0	0	0	0	0	0	0
ASV27	59	32	24	82	22	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV28	16	0	20	10	8	0	9	74	13	117	26	168	0	0	0	0	7	11
ASV29	30	10	0	0	34	3	41	54	0	0	0	3	8	81	22	6	39	50
ASV30	17	23	0	25	16	7	57	22	0	0	15	21	9	27	18	28	0	30
ASV31	42	58	0	0	14	22	0	0	0	0	0	0	0	0	0	0	0	0
ASV32	27	16	0	16	30	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV33	0	24	0	22	22	47	0	0	0	0	0	0	0	0	0	0	0	0
ASV34	11	12	0	52	37	25	0	0	0	0	0	0	0	0	0	0	0	0
ASV35	0	5	0	31	35	42	0	0	0	0	0	0	0	0	0	0	0	0
ASV36	0	0	0	0	0	0	0	0	2584	580	497	3647	15	0	0	54	142	60
ASV37	0	0	0	0	0	0	121	0	1331	109	0	184	0	0	110	49	1636	216
ASV38	0	0	0	0	0	0	41	1262	3593	130	0	79	251	337	226	121	0	447
ASV39	0	0	0	0	0	0	19	699	0	0	20	352	535	0	892	37	10	2882
