ASV_ID	SRR10120033.fastq	SRR10120037.fastq	SRR10120038.fastq	SRR10120039.fastq	SRR10120040.fastq	SRR10120041.fastq	SRR10120042.fastq	SRR10120043.fastq	SRR10120044.fastq	SRR10120045.fastq	SRR10120046.fastq	SRR10120047.fastq	SRR10120048.fastq	SRR10120049.fastq	SRR10120050.fastq	SRR10120051.fastq	SRR10120052.fastq	SRR10120053.fastq	SRR10120054.fastq	SRR10120055.fastq	SRR10120056.fastq	SRR10120057.fastq	SRR10120066.fastq	SRR10120077.fastq	SRR10120099.fastq	SRR10120123.fastq	SRR10120124.fastq	SRR10120013.fastq	SRR10120014.fastq	SRR10120015.fastq	SRR10120016.fastq	SRR10120017.fastq	SRR10120018.fastq	SRR10120019.fastq	SRR10120020.fastq	SRR10120021.fastq	SRR10120022.fastq	SRR10120023.fastq	SRR10120024.fastq	SRR10120025.fastq	SRR10120026.fastq	SRR10120027.fastq	SRR10120028.fastq	SRR10120029.fastq	SRR10120030.fastq	SRR10120031.fastq	SRR10120032.fastq	SRR10120034.fastq	SRR10120035.fastq	SRR10120036.fastq	SRR10120058.fastq	SRR10120059.fastq	SRR10120060.fastq	SRR10120061.fastq	SRR10120062.fastq	SRR10120063.fastq	SRR10120064.fastq	SRR10120065.fastq	SRR10120067.fastq	SRR10120068.fastq	SRR10120069.fastq	SRR10120070.fastq	SRR10120071.fastq	SRR10120072.fastq	SRR10120073.fastq	SRR10120074.fastq	SRR10120075.fastq	SRR10120076.fastq	SRR10120078.fastq	SRR10120079.fastq	SRR10120080.fastq	SRR10120081.fastq	SRR10120082.fastq	SRR10120083.fastq	SRR10120084.fastq	SRR10120085.fastq	SRR10120087.fastq	SRR10120088.fastq	SRR10120089.fastq	SRR10120090.fastq	SRR10120091.fastq	SRR10120092.fastq	SRR10120093.fastq	SRR10120094.fastq	SRR10120095.fastq	SRR10120096.fastq	SRR10120097.fastq	SRR10120098.fastq	SRR10120100.fastq	SRR10120101.fastq	SRR10120102.fastq	SRR10120103.fastq	SRR10120104.fastq	SRR10120105.fastq	SRR10120106.fastq	SRR10120107.fastq	SRR10120108.fastq	SRR10120109.fastq	SRR10120110.fastq	SRR10120111.fastq	SRR10120112.fastq	SRR10120113.fastq	SRR10120114.fastq	SRR10120115.fastq	SRR10120116.fastq	SRR10120117.fastq	SRR10120118.fastq	SRR10120119.fastq	SRR10120120.fastq	SRR10120121.fastq	SRR10120122.fastq
ASV1	2771	9378	4257	3390	52	4194	4567	110	2092	45	887	751	45	29365	2067	62	2343	14267	2608	508	1043	2246	93	443	15063	2169	1692	5149	90	11268	4771	29	196	18	2653	14146	4546	781	32	193	625	1187	58	1290	223	2596	10251	49	1567	2880	19	1437	3736	5545	5085	109	570	4097	6241	3262	4262	1439	2065	1261	954	3466	54	31	212	12020	3198	122	595	40	7540	666	4842	11193	689	457	2081	4067	1783	629	81	302	2473	1181	5804	5323	43	3004	564	459	9316	2033	21	4844	2219	103	53	59	6520	626	2163	747	13	605	2685	32	2285
ASV2	150	1533	764	6325	152	6013	6893	979	1408	2040	2235	327	602	890	1815	77	914	3242	9923	555	204	244	165	4599	57	34	1872	3020	649	2387	885	27	172	1341	13364	1036	6388	2180	2310	1010	1984	7535	88	3765	1865	470	4139	2762	1257	4818	43	183	2424	142	1302	173	4288	4374	5023	4388	2544	1066	39	187	1799	3379	29	0	3440	394	482	2306	3290	68	6670	2068	523	489	179	971	1099	613	64	0	1951	2203	4050	3847	2844	3581	41	2214	723	1598	8171	2950	48	798	317	84	21	1377	367	2882	774	1640	0	6116	1427	34	9091
ASV3	28	2079	1072	1664	108	2575	3587	2360	839	1840	2230	1131	480	1116	1734	0	858	3419	993	3267	439	89	62	877	0	0	1039	176	505	720	72	63	97	1914	2659	989	2365	1501	1396	1325	197	8626	0	1103	1601	2885	3995	85	2559	231	0	5951	2730	5411	41	336	898	3618	2686	3815	1320	1731	41	55	3632	1838	20	0	873	544	145	1493	7860	0	2442	506	540	438	852	5848	617	6501	430	0	2755	368	3613	1989	450	4015	34	2243	52	4139	134	1006	0	905	8309	27	38	752	4566	2012	1009	7719	46	2593	813	0	1351
ASV4	83	382	295	1746	42	3383	2605	2620	9100	754	8047	113	5259	798	980	30	217	425	1383	52	191	231	96	2548	106	2168	2991	1449	278	876	32	27	104	382	912	201	1089	870	1943	1715	305	3518	62	627	2800	3596	1764	344	4630	1896	38	778	316	796	284	39	3052	2265	3001	1077	1541	1484	1746	438	6704	2251	18	27	325	690	170	5764	740	3819	1610	890	602	176	1408	3095	13968	5880	185	50	765	467	1843	469	1807	2849	665	1529	359	1386	1697	3462	1612	272	1520	43	0	1749	5602	3923	311	1240	18	661	951	0	6425
ASV5	604	170	21	109	704	390	85	1063	263	6611	528	247	14	847	942	2413	1000	202	107	143	3626	1197	0	1287	0	384	138	783	795	961	7170	57	21202	685	235	296	87	202	214	206	17	176	2073	1116	445	1125	221	1599	100	331	1153	515	359	181	1690	124	2824	4289	1709	504	196	23	1020	4093	593	1226	1680	5539	1072	1525	561	539	1847	32	303	617	561	2623	287	365	655	71	266	904	485	313	168	189	94	415	599	328	2495	184	1209	78	874	1033	277	2668	26884	219	154	2788	1530	223	110	61	431	85	374
ASV6	1684	112	0	3411	2000	39	21	65	5870	292	109	53	51	0	81	4552	199	118	551	44	198	1748	1295	127	27	1159	16	1377	66	23	1533	407	312	67	1526	33	817	9939	2356	205	129	34	3042	955	33	35	101	1016	51	582	14905	353	1270	70	203	2481	426	8236	131	227	695	708	2297	230	626	275	11597	985	216	79	154	84	16	2516	36	218	64	148	60	1277	674	142	182	8270	107	167	37	1164	695	2548	1479	23	937	321	360	24	10	46	149	3122	24	79	114	3062	175	11156	13	1692	1157	1978	721
ASV7	704	165	38	256	18849	1702	78	146	5002	881	89	242	5274	219	145	34	205	279	299	65	103	145	479	877	21	183	513	4580	67	241	28	24	0	119	974	669	7981	401	1094	1797	354	791	0	831	349	95	764	104	678	12359	25	122	848	197	74	8556	7042	525	435	348	555	47	1818	92	2581	1592	18	44	1194	241	1070	1686	676	2713	464	225	87	38	4770	156	256	411	407	29	2532	431	615	1499	4542	658	5451	482	179	638	1732	556	0	173	152	430	85	141	474	46	229	701	15	1383	121	0	1847
ASV8	3222	21	536	648	694	62	173	171	443	1090	1712	131	4068	119	87	11331	1322	47	351	1559	97	2988	769	57	2960	1444	47	292	103	433	819	9792	413	208	189	36	118	1134	153	45	114	870	613	441	106	1792	25	158	121	267	1717	1206	4489	697	672	31	495	645	85	150	241	248	684	663	74	649	724	6818	37	112	137	395	555	11303	154	124	51	281	83	296	197	533	342	1333	444	36	29	269	0	81	1065	32	880	95	421	142	23	380	2304	918	5446	112	1632	1793	1573	3745	42	578	298	876	221
ASV9	1697	0	122	308	426	0	0	332	0	44	151	186	24	105	496	1383	160	668	0	3385	1897	1157	0	0	0	0	0	584	84	0	0	89	1298	105	175	189	314	938	966	0	597	145	0	289	88	789	0	120	0	0	62	2394	739	2446	857	115	1942	610	509	2280	1184	281	6581	0	973	0	3227	198	635	0	0	783	2022	0	0	541	619	0	2063	621	0	0	3114	2782	72	0	199	881	1490	1564	518	198	2627	319	1550	273	62	1472	2729	5193	5542	51	797	202	315	169	33	268	323	67	409
ASV10	0	0	2456	122	0	0	860	852	0	595	1618	144	0	164	1814	2579	9681	632	362	0	196	0	61	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
