#Sample_ID	Groups	Block
SRR10120033.fastq	HC	B
SRR10120037.fastq	HC	B
SRR10120038.fastq	HC	B
SRR10120039.fastq	HC	B
SRR10120040.fastq	HC	B
SRR10120041.fastq	HC	B
SRR10120042.fastq	HC	B
SRR10120043.fastq	HC	B
SRR10120044.fastq	HC	B
SRR10120045.fastq	HC	B
SRR10120046.fastq	HC	B
SRR10120047.fastq	HC	B
SRR10120048.fastq	HC	B
SRR10120049.fastq	HC	B
SRR10120050.fastq	HC	B
SRR10120051.fastq	HC	B
SRR10120052.fastq	HC	B
SRR10120053.fastq	HC	B
SRR10120054.fastq	HC	B
SRR10120055.fastq	HC	B
SRR10120056.fastq	HC	B
SRR10120057.fastq	HC	B
SRR10120066.fastq	HC	B
SRR10120077.fastq	HC	B
SRR10120099.fastq	HC	B
SRR10120123.fastq	HC	B
SRR10120124.fastq	HC	B
SRR10120125.fastq	OP	B
SRR10120013.fastq	OP	B
SRR10120014.fastq	OP	B
SRR10120015.fastq	OP	B
SRR10120016.fastq	OP	B
SRR10120017.fastq	OP	B
SRR10120018.fastq	OP	B
SRR10120019.fastq	OP	B
SRR10120020.fastq	OP	B
SRR10120021.fastq	OP	B
SRR10120022.fastq	OP	B
SRR10120023.fastq	OP	B
SRR10120024.fastq	OP	B
SRR10120025.fastq	OP	B
SRR10120026.fastq	OP	B
SRR10120027.fastq	OP	B
SRR10120028.fastq	OP	B
SRR10120029.fastq	OP	B
SRR10120030.fastq	OP	B
SRR10120031.fastq	OP	B
SRR10120032.fastq	OP	B
SRR10120034.fastq	OP	B
SRR10120035.fastq	OP	B
SRR10120036.fastq	OP	B
SRR10120058.fastq	OP	B
SRR10120059.fastq	OP	B
SRR10120060.fastq	OP	B
SRR10120061.fastq	OP	B
SRR10120062.fastq	OP	B
SRR10120063.fastq	OP	B
SRR10120064.fastq	OP	B
SRR10120065.fastq	OP	B
SRR10120067.fastq	OP	B
SRR10120068.fastq	OP	B
SRR10120069.fastq	OP	B
SRR10120070.fastq	OP	B
SRR10120071.fastq	OP	B
SRR10120072.fastq	OP	B
SRR10120073.fastq	OP	B
SRR10120074.fastq	OP	B
SRR10120075.fastq	OP	B
SRR10120076.fastq	OP	B
SRR10120078.fastq	OP	B
SRR10120079.fastq	OP	B
SRR10120080.fastq	OP	B
SRR10120081.fastq	OP	B
SRR10120082.fastq	OP	B
SRR10120083.fastq	OP	B
SRR10120084.fastq	OP	B
SRR10120085.fastq	OP	B
SRR10120086.fastq	OP	B
SRR10120087.fastq	OP	B
SRR10120088.fastq	OP	B
SRR10120089.fastq	OP	B
SRR10120090.fastq	OP	B
SRR10120091.fastq	OP	B
SRR10120092.fastq	OP	B
SRR10120093.fastq	OP	B
SRR10120094.fastq	OP	B
SRR10120095.fastq	OP	B
SRR10120096.fastq	OP	B
SRR10120097.fastq	OP	B
SRR10120098.fastq	OP	B
SRR10120100.fastq	OP	B
SRR10120101.fastq	OP	B
SRR10120102.fastq	OP	B
SRR10120103.fastq	OP	B
SRR10120104.fastq	OP	B
SRR10120105.fastq	OP	B
SRR10120106.fastq	OP	B
SRR10120107.fastq	OP	B
SRR10120108.fastq	OP	B
SRR10120109.fastq	OP	B
SRR10120110.fastq	OP	B
SRR10120111.fastq	OP	B
SRR10120112.fastq	OP	B
SRR10120113.fastq	OP	B
SRR10120114.fastq	OP	B
SRR10120115.fastq	OP	B
SRR10120116.fastq	OP	B
SRR10120117.fastq	OP	B
SRR10120118.fastq	OP	B
SRR10120119.fastq	OP	B
SRR10120120.fastq	OP	B
SRR10120121.fastq	OP	B
SRR10120122.fastq	OP	B
