ASV_ID	SRR14320150	SRR14320151	SRR14320152	SRR14320156	SRR14320158	SRR14320159	SRR14320164	SRR14320165	SRR14320167	SRR14320169	SRR14320170	SRR14320172	SRR14320175	SRR14320176	SRR14320178	SRR14320179	SRR14320182	SRR14320184	SRR14320187	SRR14320188	SRR14320189	SRR14320192	SRR14320194	SRR14320195	SRR14320197	SRR14320198	SRR14320199	SRR14320200	SRR14320201	SRR14320202	SRR14320203	SRR14320204	SRR14320207	SRR14320209	SRR14320210	SRR14320212	SRR14320213	SRR14320214	SRR14320217	SRR14320219	SRR14320220	SRR14320222	SRR14320224	SRR14320225	SRR14320226	SRR14320227	SRR14320228	SRR14320229	SRR14320230	SRR14320231	SRR14320232	SRR14320234	SRR14320235	SRR14320236	SRR14320237	SRR14320240	SRR14320241	SRR14320243	SRR14320245	SRR14320246	SRR14320247	SRR14320248	SRR14320251	SRR14320252	SRR14320253	SRR14320148	SRR14320149	SRR14320153	SRR14320154	SRR14320155	SRR14320157	SRR14320160	SRR14320161	SRR14320162	SRR14320163	SRR14320166	SRR14320168	SRR14320171	SRR14320173	SRR14320174	SRR14320177	SRR14320180	SRR14320181	SRR14320183	SRR14320185	SRR14320186	SRR14320190	SRR14320191	SRR14320193	SRR14320196	SRR14320205	SRR14320206	SRR14320208	SRR14320211	SRR14320215	SRR14320216	SRR14320218	SRR14320221	SRR14320223	SRR14320233	SRR14320238	SRR14320239	SRR14320242	SRR14320244	SRR14320249	SRR14320250	SRR14320254	SRR14320255
ASV1	26387	15846	17894	23673	37370	21959	30084	23340	43489	21972	16397	30077	25093	31477	149	41537	51	22493	30549	24345	27493	26840	65	21422	33315	27069	45	17522	26514	33715	12337	99	40596	24492	19557	26121	13628	12781	18309	25063	24764	21287	30	60	32555	22432	24298	14238	27	28937	22310	20465	35862	26281	15962	28869	27583	30101	29348	29355	26588	26864	42417	22011	31284	29054	11727	57	137	18742	23411	28858	24524	31151	23097	26502	35773	26219	12660	40437	19635	27566	24420	23951	19531	33189	23655	24548	27491	22478	26964	32460	25020	22638	20467	23269	26164	22425	35429	26266	92	33281	27766	18374	35523	23072	39746	19142
ASV2	26702	16241	16520	23834	37631	21821	27984	22730	43094	22393	16726	29194	24659	31137	147	41426	52	23005	30912	24502	27769	25980	53	21349	32590	26617	43	16604	26084	34051	11762	120	41105	24793	18998	26411	12753	12546	17765	25205	24008	20990	22	61	32276	22681	24141	14972	38	28824	21829	20512	34229	25721	15754	29366	27845	28697	29558	29778	27318	26555	41388	21209	31423	28220	11457	62	131	18928	22803	27769	24685	31135	22921	26692	35415	26423	12588	39178	20415	26911	23779	23832	19917	32463	23852	24803	28852	23427	26785	32420	25119	22413	20433	23131	26479	22097	35382	25585	89	33160	27552	18263	35710	23459	40466	19611
ASV3	16813	3048	6055	1937	1806	9632	14334	6897	2234	2180	12038	6226	290	4696	51	5743	27	10972	18551	2284	22492	14013	25	4527	38039	44680	33	1982	61672	1425	3032	75	61325	906	2951	21994	6763	3365	3759	15694	4642	19613	15	27	50	4614	11967	3366	20	37541	22625	22638	4133	12963	6409	10894	4361	8245	24974	26230	1793	1588	2546	10013	1167	6713	223	24	39	2626	5185	25415	4388	4682	1461	1661	34169	16903	1400	72	1067	8729	18770	2280	3768	77	4289	20823	19476	17842	16984	17764	2262	19821	920	12260	10898	355	50405	1839	68	4287	20392	2065	17335	4534	2123	69
ASV4	91	45	2635	476	87	48	38731	726	715	105	2150	714	25565	162	88	354	23	40	237	193	33932	3972	32	5324	33106	2578	12	1492	10257	40	123	40	209	18898	5096	1114	31456	145	37201	124	57	103	0	21	5680	46	1687	64	30	575	9576	420	83635	8358	166	498	91	61672	233	715	114	2879	32425	4874	2234	127	244	23	33	11742	2489	108180	837	271	60	121	71	132	181	3456	78	213	19037	135	119	32616	99	4070	344	897	353	3210	88	1656	2842	318	9368	389	14349	294	21	203	1182	2238	77	129	138	1245
ASV5	639	13861	2054	1925	349	2434	1376	8785	49	477	12834	4506	20	623	26	2776	0	2791	24188	2223	1544	9487	0	0	30	24	15	763	14885	34938	6536	32	4231	1440	17	3988	9909	244	14507	17847	412	28	22	22	39	1554	38448	1835	0	31	6998	688	2790	5338	1412	1800	4431	2801	24316	37	5203	30	170	3354	1987	4285	19	17	17	717	28	3733	9620	5132	5004	1552	6688	8340	741	33	2074	6252	23	846	4479	48	110	6307	4027	630	6807	4991	522	38	392	6383	16	5855	37	762	0	21049	6159	331	101	3213	1525	17407
ASV6	4365	2742	3035	4251	6421	3904	4922	3864	7889	3955	2745	5231	4059	5550	31	7246	7	4014	5106	4489	4811	4419	8	3570	5844	4605	6	2969	4361	6036	2147	19	6917	4315	3403	4533	2117	2089	3145	4219	3884	3671	6	9	5545	3750	4038	2132	12	4862	3751	3353	6136	4608	2693	5042	4647	4913	5271	5184	4709	4497	7503	3756	5391	5013	1952	6	25	3251	4213	4654	4314	5385	4155	4607	6115	4633	2230	7280	3330	4924	4263	4181	3544	5787	4037	4106	4691	4004	4796	5712	4540	3718	3523	3901	4515	3777	6279	4628	18	5586	4842	3080	6445	4070	7275	3311
ASV7	1581	6203	2071	206	44	0	148	3666	85099	0	29	14	18782	462	12	4533	14	2503	28	4800	25	46	8	695	21	28	0	1813	2296	347	560	23	15808	4436	13	49	0	0	6761	0	1847	13448	0	14	19	2702	0	96	0	21149	14	15750	4838	0	0	0	274	0	23	26	6846	0	0	22164	522	24665	198	0	8	0	0	30	1333	1105	15	16770	22	44	0	0	8063	5316	0	16212	14	29	12012	8248	34460	34	0	60	221	25328	19	29	0	126	0	1855	14	7882	0	195	895	3889	2342	1806
ASV8	2258	0	6199	493	20754	5306	28	77	24	2722	1977	37995	16	234	31	16066	20	51	12557	0	1168	6348	0	21	21	20	0	843	0	15080	6784	30	51	5201	0	0	4397	5442	0	25	10341	1288	0	15	21	227	0	0	0	14050	0	0	935	0	0	0	46572	15634	15275	4088	0	27	23	14980	27	2769	14	21	12	3287	32	0	0	1347	0	104	5257	14472	6484	28	10816	0	21	6869	4302	38	3913	11040	10489	7098	18	50	4843	0	23	15	22	0	32	3424	0	12224	0	6269	6440	10654	2887	17
ASV9	0	452	151	0	16	105	9606	809	676	0	4864	3396	22104	130	13	0	0	1348	5397	52	5448	3829	9	655	19001	14701	0	11	14487	18	58	10	996	16	3196	5344	751	126	230	2383	19	6994	0	9	20	0	1709	14	0	8337	1635	2639	671	5401	766	731	104	19	7586	1967	73	1309	0	3163	658	218	520	12	11	152	415	5446	31	342	578	70	4437	1250	0	65286	291	28	17646	10	140	9448	12850	3860	803	44	2412	26909	300	4705	13835	2189	16094	16	18112	0	0	143	3316	180	16016	191	142	2946
ASV10	3055	2054	2017	3127	4903	2756	3707	2931	5680	2873	1859	3858	3048	4055	20	5246	8	3076	3889	3299	3650	3263	8	2512	4344	3345	4	2116	3171	4214	1484	17	5142	3171	2552	3232	1710	1517	2343	2931	2848	2734	7	7	4004	2894	2951	1543	5	3604	2702	2346	4630	3283	1936	3590	3357	3650	3622	3649	3437	3237	5419	2660	3978	3700	1430	13	18	2552	3066	3631	3110	4010	3029	3368	4217	3421	1574	5347	2438	3505	3081	2993	2408	4434	2934	3110	3374	2664	3503	4229	3243	2697	2559	2854	3122	2894	4400	3155	17	4126	3468	2279	4594	3008	5289	2429
