#Sample_ID	Groups	Block
SRR14320148	OP	D
SRR14320149	OP	D
SRR14320150	HC	D
SRR14320151	HC	D
SRR14320152	HC	D
SRR14320153	OP	D
SRR14320154	OP	D
SRR14320155	OP	D
SRR14320156	HC	D
SRR14320157	OP	D
SRR14320158	HC	D
SRR14320159	HC	D
SRR14320160	OP	D
SRR14320161	OP	D
SRR14320162	OP	D
SRR14320163	OP	D
SRR14320164	HC	D
SRR14320165	HC	D
SRR14320166	OP	D
SRR14320167	HC	D
SRR14320168	OP	D
SRR14320169	HC	D
SRR14320170	HC	D
SRR14320171	OP	D
SRR14320172	HC	D
SRR14320173	OP	D
SRR14320174	OP	D
SRR14320175	HC	D
SRR14320176	HC	D
SRR14320177	OP	D
SRR14320178	HC	D
SRR14320179	HC	D
SRR14320180	OP	D
SRR14320181	OP	D
SRR14320182	HC	D
SRR14320183	OP	D
SRR14320184	HC	D
SRR14320185	OP	D
SRR14320186	OP	D
SRR14320187	HC	D
SRR14320188	HC	D
SRR14320189	HC	D
SRR14320190	OP	D
SRR14320191	OP	D
SRR14320192	HC	D
SRR14320193	OP	D
SRR14320194	HC	D
SRR14320195	HC	D
SRR14320196	OP	D
SRR14320197	HC	D
SRR14320198	HC	D
SRR14320199	HC	D
SRR14320200	HC	D
SRR14320201	HC	D
SRR14320202	HC	D
SRR14320203	HC	D
SRR14320204	HC	D
SRR14320205	OP	D
SRR14320206	OP	D
SRR14320207	HC	D
SRR14320208	OP	D
SRR14320209	HC	D
SRR14320210	HC	D
SRR14320211	OP	D
SRR14320212	HC	D
SRR14320213	HC	D
SRR14320214	HC	D
SRR14320215	OP	D
SRR14320216	OP	D
SRR14320217	HC	D
SRR14320218	OP	D
SRR14320219	HC	D
SRR14320220	HC	D
SRR14320221	OP	D
SRR14320222	HC	D
SRR14320223	OP	D
SRR14320224	HC	D
SRR14320225	HC	D
SRR14320226	HC	D
SRR14320227	HC	D
SRR14320228	HC	D
SRR14320229	HC	D
SRR14320230	HC	D
SRR14320231	HC	D
SRR14320232	HC	D
SRR14320233	OP	D
SRR14320234	HC	D
SRR14320235	HC	D
SRR14320236	HC	D
SRR14320237	HC	D
SRR14320238	OP	D
SRR14320239	OP	D
SRR14320240	HC	D
SRR14320241	HC	D
SRR14320242	OP	D
SRR14320243	HC	D
SRR14320244	OP	D
SRR14320245	HC	D
SRR14320246	HC	D
SRR14320247	HC	D
SRR14320248	HC	D
SRR14320249	OP	D
SRR14320250	OP	D
SRR14320251	HC	D
SRR14320252	HC	D
SRR14320253	HC	D
SRR14320254	OP	D
SRR14320255	OP	D
